customer,cluster,cluster_label,cluster_profile
8003,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8004,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8005,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8006,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
8007,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8008,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
8009,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8010,1,New Parents,"Baby%, Drinks%, Home%"
8011,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8012,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8013,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8015,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8017,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8018,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8019,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8021,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8022,1,New Parents,"Baby%, Drinks%, Home%"
8023,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8024,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8025,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8026,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8027,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8028,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8030,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
8031,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8032,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8033,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
8034,1,New Parents,"Baby%, Drinks%, Home%"
8035,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
8036,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
