customer,cluster,cluster_label
2594,2,Food & Drinks & Home Decorators
2596,3,Drinks & Fresh Regulars & Food
2597,2,Food & Drinks & Home Decorators
2598,2,Food & Drinks & Home Decorators
2599,2,Food & Drinks & Home Decorators
2600,2,Food & Drinks & Home Decorators
2601,2,Food & Drinks & Home Decorators
2602,1,New Parents & Drinks & Home Decorators
2603,3,Drinks & Fresh Regulars & Food
2604,2,Food & Drinks & Home Decorators
2606,3,Drinks & Fresh Regulars & Food
2607,2,Food & Drinks & Home Decorators
2608,2,Food & Drinks & Home Decorators
2609,2,Food & Drinks & Home Decorators
2610,2,Food & Drinks & Home Decorators
2611,1,New Parents & Drinks & Home Decorators
2612,3,Drinks & Fresh Regulars & Food
2613,2,Food & Drinks & Home Decorators
2614,2,Food & Drinks & Home Decorators
2615,0,Home Decorators & Drinks & Food
2616,3,Drinks & Fresh Regulars & Food
2617,3,Drinks & Fresh Regulars & Food
2618,3,Drinks & Fresh Regulars & Food
2619,2,Food & Drinks & Home Decorators
2620,0,Home Decorators & Drinks & Food
2621,2,Food & Drinks & Home Decorators
2622,2,Food & Drinks & Home Decorators
2623,2,Food & Drinks & Home Decorators
2624,2,Food & Drinks & Home Decorators
2625,2,Food & Drinks & Home Decorators
2626,2,Food & Drinks & Home Decorators
2627,3,Drinks & Fresh Regulars & Food
2628,2,Food & Drinks & Home Decorators
2629,3,Drinks & Fresh Regulars & Food
2630,2,Food & Drinks & Home Decorators
2631,3,Drinks & Fresh Regulars & Food
2632,3,Drinks & Fresh Regulars & Food
2633,3,Drinks & Fresh Regulars & Food
2634,2,Food & Drinks & Home Decorators
